FULL NAME,TEAM,POS,Ortg,DRtg
Steven Adams,Okc,C,122.6,102.2
Bam Adebayo,Mia,C,117.4,102.5
LaMarcus Aldridge,San,F,115.2,108.9
Nickeil Alexander-Walker,Nor,G,90.7,107
Grayson Allen,Mem,G,110.9,109
Jarrett Allen,Bro,C,128.7,100.1
Kadeem Allen,Nyk,G,105.7,111.8
Al-Farouq Aminu,Orl,F,87.8,103.2
Justin Anderson,Bro,F,50.3,101.9
Kyle Anderson,Mem,F,109.5,105.2
Ryan Anderson,Hou,F,78.2,94.1
Giannis Antetokounmpo,Mil,F,115.9,89.2
Kostas Antetokounmpo,Lal,F,0,0
Thanasis Antetokounmpo,Mil,F,97.9,90.1
Carmelo Anthony,Por,F,101.8,108.2
OG Anunoby,Tor,F,113.3,100
Ryan Arcidiacono,Chi,G,111,105.4
Trevor Ariza,Sac,F,107.4,105.4
Trevor Ariza,Por,F,120.4,109.8
D.J. Augustin,Orl,G,111.8,110.2
Deandre Ayton,Pho,C,109.3,102.5
Dwayne Bacon,Cha,G,86.1,107.8
Marvin Bagley III,Sac,F,101.9,100.2
Lonzo Ball,Nor,G,104.6,108.7
Mo Bamba,Orl,C,110.1,96.2
J.J. Barea,Dal,G,110.8,110.3
Harrison Barnes,Sac,F,115.2,113.4
RJ Barrett,Nyk,F,94.1,109.1
Will Barton,Den,G,112,106.6
Keita Bates-Diop,Min,F,111.3,110.9
Keita Bates-Diop,Den,F,192.5,104.9
Nicolas Batum,Cha,G,105.3,106.4
Aron Baynes,Pho,C,112.5,98.3
Kent Bazemore,Por,G,91.8,105.5
Kent Bazemore,Sac,G,103.3,98.9
Darius Bazley,Okc,F,90.2,106
Bradley Beal,Was,G,112.9,114.6
Malik Beasley,Den,G,99.8,107.3
Malik Beasley,Min,G,115.2,110.1
Marco Belinelli,San,G,105.8,113.2
Jordan Bell,Min,F,107.7,108.2
Jordan Bell,Mem,F,102.9,106.9
DeAndre' Bembry,Atl,G,94.5,108
Dragan Bender,Mil,F,105,86.9
Dragan Bender,Gol,F,86.2,102
Davis Bertans,Was,F,120,111.4
Patrick Beverley,Lac,G,115,97.6
Khem Birch,Orl,C,115.4,103.1
Goga Bitadze,Ind,C,100.6,97.2
Bismack Biyombo,Cha,C,114.2,102.8
Nemanja Bjelica,Sac,F,117.3,103
Eric Bledsoe,Mil,G,112.9,97.1
Bojan Bogdanovic,Uta,F,111.3,108.2
Bogdan Bogdanovic,Sac,G,107.3,108.1
Jonah Bolden,Phi,F,0,0
Jonah Bolden,Pho,F,92.8,92.9
Marques Bolden,Cle,C,0,0
Jordan Bone,Det,G,76.3,106.1
Isaac Bonga,Was,G,120.6,106.1
Devin Booker,Pho,G,113.8,107.7
Chris Boucher,Tor,F,122.3,92
Brian Bowen II,Ind,F,0,0
Ky Bowman,Gol,G,94.8,107.1
Avery Bradley,Lal,G,104.3,102
Tony Bradley,Uta,C,134.1,89.7
Jarrell Brantley,Uta,F,0,0
Ignas Brazdeikis,Nyk,F,82.1,115.1
Miles Bridges,Cha,F,103.5,109
Mikal Bridges,Pho,F,117.3,105.1
Oshae Brissett,Tor,F,95.7,96
Ryan Broekhoff,Dal,G,114.2,103.1
Malcolm Brogdon,Ind,G,110.3,107
Dillon Brooks,Mem,G,100.3,102.5
Charles Brown Jr.,Atl,G,92.9,112.7
Troy Brown Jr.,Was,G,109.7,110.2
Bruce Brown,Det,G,105.6,104.7
Jaylen Brown,Bos,F,110.6,101.2
Moses Brown,Por,C,0.00,0.00
Sterling Brown,Mil,G,95.4,95.8
Jalen Brunson,Dal,G,114,107.6
Thomas Bryant,Was,C,125.3,109.4
Reggie Bullock,Nyk,G,105.4,108.8
Trey Burke,Phi,G,117.6,108
Alec Burks,Gol,G,110.4,108.8
Alec Burks,Phi,G,108.5,105.3
Deonte Burton,Okc,G,82.3,102.4
Jimmy Butler,Mia,F,122.2,107.4
Bruno Caboclo,Mem,F,96.7,100.8
Bruno Caboclo,Hou,F,105.6,102.7
Kentavious Caldwell-Pope,Lal,G,116.7,105.1
Vlatko Cancar,Den,F,0.00,0.00
Clint Capela,Hou,C,123.5,101.5
DeMarre Carroll,San,F,88.2,100.9
DeMarre Carroll,Hou,F,96.1,104.6
Wendell Carter Jr.,Chi,C,114.9,99.3
Jevon Carter,Pho,G,106.9,104.2
Vince Carter,Atl,G,92.6,108.6
Michael Carter-Williams,Orl,G,105.2,100.1
Alex Caruso,Lal,G,109.2,101.2
Willie Cauley-Stein,Gol,C,113.9,102.8
Willie Cauley-Stein,Dal,C,134.1,95.7
Tyson Chandler,Hou,C,133.6,97.6
Wilson Chandler,Bro,F,98.8,100.2
Joe Chealey,Cha,G,29.5,107.4
Zylan Cheatham,Nor,F,66.8,100.3
Chris Chiozza,Was,G,91.1,107.3
Chris Chiozza,Bro,G,111.7,103.4
Marquese Chriss,Gol,F,114.7,103.8
Brandon Clarke,Mem,F,128.4,105.8
Gary Clark,Hou,F,126.2,104.8
Gary Clark,Orl,F,116.4,110
Jordan Clarkson,Cle,G,115.7,115.2
Jordan Clarkson,Uta,G,112,106.4
Nicolas Claxton,Bro,F,117.2,105.8
Chris Clemons,Hou,G,103.3,107.7
Antonius Cleveland,Dal,G,0.00,0.00
Amir Coffey,Lac,G,98.4,101.3
John Collins,Atl,F,121.9,106
Zach Collins,Por,F,111.5,107.4
Mike Conley,Uta,G,107.8,105.2
Pat Connaughton,Mil,G,114.4,99.7
Quinn Cook,Lal,G,100.2,106.5
Tyler Cook,Cle,F,0,0
Robert Covington,Min,F,105.5,103
Robert Covington,Hou,F,112.6,100.1
Allen Crabbe,Atl,G,99.8,112.9
Allen Crabbe,Min,G,80.8,111
Torrey Craig,Den,F,115.2,101.3
Jae Crowder,Mem,F,105.3,107
Jae Crowder,Mia,F,125.3,98.2
Jae Crowder,Mia,F,125.3,98.2
Jarrett Culver,Min,G,93.4,108.6
Seth Curry,Dal,G,124.2,108.5
Stephen Curry,Gol,G,109.1,108
Troy Daniels,Lal,G,107.9,106.2
Anthony Davis,Lal,F,121.1,100.3
Ed Davis,Uta,F,97.7,86.8
Terence Davis,Tor,G,114.4,99.4
Dewayne Dedmon,Sac,C,88.3,94
Dewayne Dedmon,Atl,C,94.1,93.1
Matthew Dellavedova,Cle,G,99.2,109.8
DeMar DeRozan,San,F,117.3,108.4
Cheick Diallo,Pho,F,120.7,100.5
Hamidou Diallo,Okc,G,91.3,99.4
Gorgui Dieng,Min,C,112.3,101
Gorgui Dieng,Mem,C,111.5,99.7
Spencer Dinwiddie,Bro,G,110.9,104.5
Donte DiVincenzo,Mil,G,110.8,95.5
Luka Doncic,Dal,G,115.7,102.9
Luguentz Dort,Okc,G,106.6,101.3
Damyean Dotson,Nyk,G,110.4,112.5
Sekou Doumbouya,Det,F,90,104.3
PJ Dozier,Den,G,97.1,102
Goran Dragic,Mia,G,111.6,107.6
Andre Drummond,Det,C,104.1,97.3
Andre Drummond,Cle,C,94.4,101.9
Jared Dudley,Lal,F,117.7,98.3
Kris Dunn,Chi,G,104,98.9
Carsen Edwards,Bos,G,92,100.7
Henry Ellenson,Bro,F,0,0
Wayne Ellington,Nyk,G,106.3,110.5
