FULL NAME,TEAM,POS,PPG,RPG
Steven Adams,Okc,C,11,9.4
Bam Adebayo,Mia,C,16.1,10.5
LaMarcus Aldridge,San,F,18.8,7.5
Nickeil Alexander-Walker,Nor,G,5.1,2
Grayson Allen,Mem,G,7.4,2.2
Jarrett Allen,Bro,C,10.7,9.6
Kadeem Allen,Nyk,G,5,0.9
Al-Farouq Aminu,Orl,F,4.3,4.9
Justin Anderson,Bro,F,1,0.7
Kyle Anderson,Mem,F,5.6,4.3
Ryan Anderson,Hou,F,2.5,3.5
Giannis Antetokounmpo,Mil,F,29.6,13.8
Kostas Antetokounmpo,Lal,F,0,0.3
Thanasis Antetokounmpo,Mil,F,2.1,0.8
Carmelo Anthony,Por,F,15.5,6.4
OG Anunoby,Tor,F,10.8,5.5
Ryan Arcidiacono,Chi,G,4.5,1.9
Trevor Ariza,Sac,F,6,4.6
Trevor Ariza,Por,F,10.4,4.6
D.J. Augustin,Orl,G,9.8,2.2
Deandre Ayton,Pho,C,19,12
Dwayne Bacon,Cha,G,5.7,2.6
Marvin Bagley III,Sac,F,14.2,7.5
Lonzo Ball,Nor,G,12.2,6.2
Mo Bamba,Orl,C,5.6,5
J.J. Barea,Dal,G,8.2,2
Harrison Barnes,Sac,F,14.7,4.8
RJ Barrett,Nyk,F,14.1,5
Will Barton,Den,G,14.9,6.3
Keita Bates-Diop,Min,F,6.8,3
Keita Bates-Diop,Den,F,3.5,1
Nicolas Batum,Cha,G,3.6,4.5
Aron Baynes,Pho,C,10.6,5.5
Kent Bazemore,Por,G,7.9,4
Kent Bazemore,Sac,G,10.2,4.8
Darius Bazley,Okc,F,4.5,3.7
Bradley Beal,Was,G,30.4,4.3
Malik Beasley,Den,G,7.9,1.9
Malik Beasley,Min,G,21.4,5
Marco Belinelli,San,G,5.6,1.7
Jordan Bell,Min,F,3.1,2.9
Jordan Bell,Mem,F,5,1.5
DeAndre' Bembry,Atl,G,5.8,3.5
Dragan Bender,Mil,F,3.7,2.9
Dragan Bender,Gol,F,6.9,6.1
Davis Bertans,Was,F,15.3,4.7
Patrick Beverley,Lac,G,7.9,5.5
Khem Birch,Orl,C,3.9,4.6
Goga Bitadze,Ind,C,3.1,2
Bismack Biyombo,Cha,C,7.5,5.9
Nemanja Bjelica,Sac,F,11.9,6.4
Eric Bledsoe,Mil,G,15.3,4.7
Bojan Bogdanovic,Uta,F,20.5,4.2
Bogdan Bogdanovic,Sac,G,14.3,3.2
Jonah Bolden,Phi,F,1,0.3
Jonah Bolden,Pho,F,2,2.7
Marques Bolden,Cle,C,0,2
Jordan Bone,Det,G,1.2,0.4
Isaac Bonga,Was,G,4.6,3.3
Devin Booker,Pho,G,25.9,4.1
Chris Boucher,Tor,F,6.4,4.5
Brian Bowen II,Ind,F,1,0.8
Ky Bowman,Gol,G,7.4,2.6
Avery Bradley,Lal,G,8.4,2.3
Tony Bradley,Uta,C,4.6,4.3
Jarrell Brantley,Uta,F,0,1
Ignas Brazdeikis,Nyk,F,1.9,0.6
Miles Bridges,Cha,F,13.1,5.6
Mikal Bridges,Pho,F,8.4,3.9
Oshae Brissett,Tor,F,1.9,1.4
Ryan Broekhoff,Dal,G,4.2,2.5
Malcolm Brogdon,Ind,G,16.3,4.7
Dillon Brooks,Mem,G,15.7,3.3
Charles Brown Jr.,Atl,G,2,0.4
Troy Brown Jr.,Was,G,9.8,5.3
Bruce Brown,Det,G,8.9,4.7
Jaylen Brown,Bos,F,20.4,6.4
Moses Brown,Por,C,1.2,1.6
Sterling Brown,Mil,G,4.7,3.6
Jalen Brunson,Dal,G,8.2,2.4
Thomas Bryant,Was,C,12.4,6.9
Reggie Bullock,Nyk,G,8.6,2.4
Trey Burke,Phi,G,5.9,1.4
Alec Burks,Gol,G,16.1,4.7
Alec Burks,Phi,G,11.1,3.1
Deonte Burton,Okc,G,2.8,1.4
Jimmy Butler,Mia,F,20.3,6.7
Bruno Caboclo,Mem,F,2.8,2
Bruno Caboclo,Hou,F,1.5,1.3
Kentavious Caldwell-Pope,Lal,G,9.7,2.1
Vlatko Cancar,Den,F,1.2,0.7
Clint Capela,Hou,C,13.9,13.8
DeMarre Carroll,San,F,2.2,2.1
DeMarre Carroll,Hou,F,5.3,3
Wendell Carter Jr.,Chi,C,11.3,9.7
Jevon Carter,Pho,G,4.3,1.8
Vince Carter,Atl,G,4.8,2.1
Michael Carter-Williams,Orl,G,6.4,3.4
Alex Caruso,Lal,G,5.5,1.9
Willie Cauley-Stein,Gol,C,7.9,6.2
Willie Cauley-Stein,Dal,C,5.2,4.6
Tyson Chandler,Hou,C,1.3,2.5
Wilson Chandler,Bro,F,6,4.2
Joe Chealey,Cha,G,0.7,0
Zylan Cheatham,Nor,F,1.3,2
Chris Chiozza,Was,G,2.7,1.5
Chris Chiozza,Bro,G,3.6,1.3
Marquese Chriss,Gol,F,9.2,6.1
Brandon Clarke,Mem,F,12,5.8
Gary Clark,Hou,F,3.9,2.2
Gary Clark,Orl,F,3,2.8
Jordan Clarkson,Cle,G,14.6,2.4
Jordan Clarkson,Uta,G,15.8,2.9
Nicolas Claxton,Bro,F,4.4,2.9
Chris Clemons,Hou,G,5,0.8
Antonius Cleveland,Dal,G,0.8,0.5
Amir Coffey,Lac,G,2.4,1.2
John Collins,Atl,F,21.1,10.1
Zach Collins,Por,F,9,4
Mike Conley,Uta,G,13.6,3.2
Pat Connaughton,Mil,G,5,4.2
Quinn Cook,Lal,G,4.8,1.1
Tyler Cook,Cle,F,1.7,0.9
Robert Covington,Min,F,12.8,6
Robert Covington,Hou,F,12.5,8.5
Allen Crabbe,Atl,G,5.1,2.3
Allen Crabbe,Min,G,3.2,1.3
Torrey Craig,Den,F,5.1,3.3
Jae Crowder,Mem,F,9.9,6.2
Jae Crowder,Mia,F,13.2,6
Jae Crowder,Mia,F,13.2,6
Jarrett Culver,Min,G,9.2,3.4
Seth Curry,Dal,G,12.5,2.4
Stephen Curry,Gol,G,20.8,5.2
Troy Daniels,Lal,G,4.2,1.1
Anthony Davis,Lal,F,26.6,9.5
Ed Davis,Uta,F,1.3,3.8
Terence Davis,Tor,G,8,3.5
Dewayne Dedmon,Sac,C,5.1,4.9
Dewayne Dedmon,Atl,C,7.3,7.3
Matthew Dellavedova,Cle,G,2.7,1.2
DeMar DeRozan,San,F,22.2,5.6
Cheick Diallo,Pho,F,4.8,2.8
Hamidou Diallo,Okc,G,6.1,3.3
Gorgui Dieng,Min,C,7.4,5.6
Gorgui Dieng,Mem,C,8.3,7.1
Spencer Dinwiddie,Bro,G,20.5,3.5
Donte DiVincenzo,Mil,G,9.1,4.9
Luka Doncic,Dal,G,28.5,9.5
Luguentz Dort,Okc,G,6.1,1.8
Damyean Dotson,Nyk,G,6.7,1.9
Sekou Doumbouya,Det,F,6.5,3.2
PJ Dozier,Den,G,4.3,1.5
Goran Dragic,Mia,G,16.5,3.1
Andre Drummond,Det,C,17.8,15.8
Andre Drummond,Cle,C,15.2,10.8
Jared Dudley,Lal,F,1.5,1.1
Kris Dunn,Chi,G,7.3,3.7
Carsen Edwards,Bos,G,3,1.2
Henry Ellenson,Bro,F,0.4,1.2
Wayne Ellington,Nyk,G,5.3,1.7
Joel Embiid,Phi,C,23.3,11.8
James Ennis III,Phi,F,5.8,3.1
James Ennis III,Orl,F,7.6,4.4
Drew Eubanks,San,F,3.5,2.2
Jacob Evans,Gol,G,4.7,1.5
Jacob Evans,Min,G,0,0
Dante Exum,Uta,G,2.2,1.1
Dante Exum,Cle,G,5.6,2.3
Tacko Fall,Bos,C,3.2,1.8
Derrick Favors,Nor,F,9.3,10
Cristiano Felicio,Chi,F,4.1,4.9
Terrance Ferguson,Okc,G,4.3,1.5
Bruno Fernando,Atl,F,4.5,3.6
Yogi Ferrell,Sac,G,4.3,1.1
Dorian Finney-Smith,Dal,F,9.2,5.5
Bryn Forbes,San,G,11.2,2
Evan Fournier,Orl,G,18.8,2.6
De'Aaron Fox,Sac,G,20.4,4
Melvin Frazier Jr.,Orl,G,1.2,0.3
Michael Frazier,Hou,G,1.8,0.4
Tim Frazier,Det,G,3.6,1.2
Markelle Fultz,Orl,G,11.7,3.3
Wenyen Gabriel,Sac,F,1.7,0.9
Wenyen Gabriel,Por,F,2,2.1
Daniel Gafford,Chi,F,5.1,2.5
